P22000108,-78.58133949,35.76519354,35F,Southeast,2022-01-01,15:04:00,Larceny/Theft from Motor Vehicle,RALEIGH,3400 BLOCK MIDDLE BRANCH RD
P22000112,-78.69408483,35.77286354,35H,Southwest,2022-01-01,14:41:00,Larceny/All Other,RALEIGH,500 BLOCK BRENT RD
P22000113,-78.53617392,35.81107793,25G,Northeast,2022-01-01,15:01:00,Assault/Aggravated,RALEIGH,2200 BLOCK WHISTLING STRAITS WAY
P22000113,-78.53617392,35.81107793,25E,Northeast,2022-01-01,15:01:00,Assault/Simple,RALEIGH,2200 BLOCK WHISTLING STRAITS WAY
P22000116,-78.63637948,35.7762417,70D,Downtown,2022-01-01,15:37:00,Disorderly Conduct/Drunk-Disorderly,RALEIGH,200 BLOCK WOLFE ST
P22000117,-78.56402434,35.83961437,25E,Northeast,2022-01-01,15:29:00,Assault/Simple,RALEIGH,4700 BLOCK WINDBREAK LN
P22000119,-78.69005616,35.82485257,51C,Northwest,2022-01-01,12:45:00,Weapons/Shots Fired,RALEIGH,MORNINGSIDE DR  &  WESTBURY DR
P22000122,-78.69790929,35.81572733,35H,Northwest,2022-01-01,16:00:00,Larceny/All Other,RALEIGH,2400 BLOCK LANDMARK DR
P22000123,-78.64249851,35.83991422,35C,North,2022-01-01,15:20:00,Larceny/Shoplifting,RALEIGH,4400 BLOCK SIX FORKS RD
P22000125,-78.6111451,35.84536409,25E,North,2022-01-01,15:48:00,Assault/Simple,RALEIGH,1500 BLOCK SUNBOW FALLS LN
P22000126,-78.6563615,35.76117125,80A,Downtown,2022-01-01,16:52:00,All Other/All Other Offenses,RALEIGH,600 BLOCK MAYWOOD AV
P22000127,-78.66743485,35.78886646,40A,Southwest,2022-01-01,16:37:00,Motor Vehicle Theft,RALEIGH,100 BLOCK HORNE ST
P22000130,0,0,25E,Southeast,2022-01-01,16:49:00,Assault/Simple,WAKE COUNTY,5600 BLOCK DACIAN RD
P22000131,-78.62784408,35.85276461,56B,North,2022-01-01,16:28:00,Fraud/Credit Card-ATM Fraud,RALEIGH,5100 BLOCK FLINT RIDGE PL
P22000131,-78.62784408,35.85276461,20B,North,2022-01-01,16:28:00,Robbery/From Person,RALEIGH,5100 BLOCK FLINT RIDGE PL
P22000132,-78.62987108,35.77870291,51C,Downtown,2022-01-01,17:06:00,Weapons/Shots Fired,RALEIGH,100 BLOCK MONIE LN
P22000140,-78.54974383,35.79204266,25E,Southeast,2022-01-01,17:56:00,Assault/Simple,RALEIGH,1000 BLOCK N ROGERS LN
P22000144,-78.55776238,35.92310371,35H,Northeast,2022-01-01,16:47:00,Larceny/All Other,RALEIGH,3000 BLOCK SETTLE IN LN
P22000146,-78.58388627,35.78898497,80B,Southeast,2022-01-01,18:20:00,All Other/Damage to Property (minor),RALEIGH,3100 BLOCK CALUMET DR
P22000147,-78.7154083,35.76244373,35F,Southwest,2022-01-01,18:11:00,Larceny/Theft from Motor Vehicle,RALEIGH,4600 BLOCK AVENT FERRY RD
P22000148,-78.59550627,35.8182827,25E,North,2022-01-01,17:11:00,Assault/Simple,RALEIGH,2800 BLOCK BRENTWOOD RD
P22000149,-78.66622779,35.85767356,35F,North,2022-01-01,17:59:00,Larceny/Theft from Motor Vehicle,RALEIGH,1400 BLOCK W MILLBROOK RD
P22000149,-78.66622779,35.85767356,80B,North,2022-01-01,17:59:00,All Other/Damage to Property (minor),RALEIGH,1400 BLOCK W MILLBROOK RD
P22000150,-78.59932855,35.84729273,25F,North,2022-01-01,18:05:00,Assault/Intimidation-Communicating Threats,RALEIGH,4700 BLOCK LEAFCREST CT
P22000154,-78.7083556,35.76856642,35F,Southwest,2022-01-01,19:16:00,Larceny/Theft from Motor Vehicle,RALEIGH,1600 BLOCK ATHENS DR
P22000156,-78.70154956,35.85214272,54C,Northwest,2022-01-01,19:48:00,Drug Violation/Felony,RALEIGH,5100 BLOCK HOLLYRIDGE DR
P22000159,-78.5448303,35.79659638,25E,Northeast,2022-01-01,19:38:00,Assault/Simple,RALEIGH,1900 BLOCK GRASSY BANKS DR
P22000160,-78.63500628,35.74453897,35G,Downtown,2022-01-01,19:52:00,Larceny/Theft of MV Parts-Accessories,RALEIGH,2500 BLOCK HIP HOP LN
P22000163,-78.60859548,35.73903408,35D,Southeast,2022-01-01,19:53:00,Larceny/Theft from Building,RALEIGH,2800 BLOCK FERRET CT
P22000166,-78.6243251,35.82834072,30B,North,2022-01-01,20:41:00,Burglary/Residential,RALEIGH,900 BLOCK NAVAHO DR
P22000167,-78.57974426,35.77350332,25G,Southeast,2022-01-01,20:54:00,Assault/Aggravated,RALEIGH,3400 BLOCK SOSA RD
P22000170,-78.68083215,35.75147949,25E,Southwest,2022-01-01,20:47:00,Assault/Simple,RALEIGH,1900 BLOCK ORCHARD HOLLOW LN
P22000171,-78.70395732,35.86069946,51C,Northwest,2022-01-01,20:52:00,Weapons/Shots Fired,RALEIGH,6000 BLOCK SHADETREE LN
P22000173,-78.58035613,35.82130048,80B,Northeast,2022-01-01,21:18:00,All Other/Damage to Property (minor),RALEIGH,2900 BLOCK MARS ST
P22000174,-78.80214911,35.90052703,25E,Northwest,2022-01-01,20:39:00,Assault/Simple,RALEIGH,9200 BLOCK BRUCKHAUS ST
P22000175,-78.599611,35.86201597,40A,North,2022-01-01,21:59:00,Motor Vehicle Theft,RALEIGH,5600 BLOCK ATLANTIC AVE
P22000177,-78.59936995,35.8171436,54D,Northeast,2022-01-01,22:01:00,Drug Violation/Misdemeanor,RALEIGH,2700 BLOCK CAPITAL BLVD
P22000178,-78.58343685,35.76894157,80E,Southeast,2022-01-01,21:23:00,All Other/Unauthorized Use of Vehicle,RALEIGH,600 BLOCK SUNNYBROOK RD
P22000179,-78.79739705,35.898426,25G,Northwest,2022-01-01,22:25:00,Assault/Aggravated,RALEIGH,BRUCKHAUS ST  &  BOLD VENTURE LN
P22000180,-78.62137391,35.73261679,25E,Southeast,2022-01-01,21:15:00,Assault/Simple,RALEIGH,1000 BLOCK EARLY RISE ST
P22000181,-78.68590655,35.84450197,51A,Northwest,2022-01-01,22:39:00,Weapons/Carry Concealed Weapon,RALEIGH,4900 BLOCK GLENWOOD AVE
P22000182,-78.57358946,35.75917337,80A,Southeast,2022-01-01,21:56:00,All Other/All Other Offenses,RALEIGH,1500 BLOCK MARK MASSENGILL DR
P22000183,-78.59009022,35.77836486,35H,Southeast,2022-01-01,21:50:00,Larceny/All Other,RALEIGH,2800 BLOCK KIDD RD
P22000185,-78.60684684,35.83944926,25E,North,2022-01-01,22:38:00,Assault/Simple,RALEIGH,4400 BLOCK CRAFTSMAN DR
P22000187,-78.61446479,35.79318152,25F,Southeast,2022-01-01,22:19:00,Assault/Intimidation-Communicating Threats,RALEIGH,1000 BLOCK ADDISON PL
P22000190,-78.60158757,35.84904866,80A,North,2022-01-01,23:28:00,All Other/All Other Offenses,RALEIGH,2100 BLOCK E MILLBROOK RD
P22000193,-78.57998793,35.79626128,25G,Northeast,2022-01-02,0:28:00,Assault/Aggravated,RALEIGH,3600 BLOCK NEW BERN AV
P22000195,-78.62522345,35.84806288,80B,North,2022-01-02,1:26:00,All Other/Damage to Property (minor),RALEIGH,4900 BLOCK BROOKHURST PL
P22000197,-78.56924429,35.83120319,54C,Northeast,2022-01-02,1:30:00,Drug Violation/Felony,RALEIGH,4100 BLOCK BUFFALOE RD
P22000198,-78.6220603,35.81599278,25E,North,2022-01-02,1:51:00,Assault/Simple,RALEIGH,600 BLOCK CREEKSIDE DR
P22000199,-78.61347432,35.77983225,51C,Southeast,2022-01-02,2:25:00,Weapons/Shots Fired,RALEIGH,100 BLOCK S RALEIGH BLVD
P22000200,-78.62522037,35.812964,54D,North,2022-01-02,3:19:00,Drug Violation/Misdemeanor,RALEIGH,2400 BLOCK PAULA ST
P22000201,-78.64417953,35.78865803,25E,Downtown,2022-01-02,3:19:00,Assault/Simple,RALEIGH,400 BLOCK W PEACE ST
P22000202,-78.6905329,35.77712528,51C,Southwest,2022-01-02,2:16:00,Weapons/Shots Fired,RALEIGH,4200 BLOCK STERLINGWORTH DR
P22000203,-78.60184456,35.8367953,51C,North,2022-01-02,4:00:00,Weapons/Shots Fired,RALEIGH,4000 BLOCK ATLANTIC AVE
P22000204,-78.62517436,35.81282281,70E,North,2022-01-02,4:20:00,Disorderly Conduct/Resist-Delay-Obstruct Officer,RALEIGH,2400 BLOCK PAULA ST
P22000211,-78.6474036,35.78396622,35F,Downtown,2022-01-02,7:19:00,Larceny/Theft from Motor Vehicle,RALEIGH,200 BLOCK GLENWOOD AVE
P22000211,-78.6474036,35.78396622,80B,Downtown,2022-01-02,7:19:00,All Other/Damage to Property (minor),RALEIGH,200 BLOCK GLENWOOD AVE
P22000215,-78.7233891,35.77576258,25E,Southwest,2022-01-02,8:30:00,Assault/Simple,RALEIGH,900 BLOCK BARRINGER DR
P22000216,-78.55913229,35.76534176,40A,Southeast,2022-01-02,8:33:00,Motor Vehicle Theft,RALEIGH,800 BLOCK S NEW HOPE RD
P22000218,-78.72406458,35.77306662,25E,Southwest,2022-01-02,8:55:00,Assault/Simple,RALEIGH,5000 BLOCK FORT SUMTER RD
P22000220,-78.64847872,35.78077659,80B,Downtown,2022-01-02,8:59:00,All Other/Damage to Property (minor),RALEIGH,600 BLOCK HILLSBOROUGH ST
P22000221,-78.55661297,35.7977505,25E,Northeast,2022-01-02,9:04:00,Assault/Simple,RALEIGH,4700 BLOCK NEW BERN AV
P22000222,-78.58809708,35.84829783,56B,North,2022-01-02,9:15:00,Fraud/Credit Card-ATM Fraud,RALEIGH,4600 BLOCK MILLBROOK GREEN DR
P22000223,-78.60933001,35.79263094,40A,Southeast,2022-01-02,8:33:00,Motor Vehicle Theft,RALEIGH,2200 BLOCK GLASCOCK ST
P22000225,-78.65629198,35.90166678,35C,North,2022-01-02,9:02:00,Larceny/Shoplifting,RALEIGH,9600 BLOCK STRICKLAND RD
P22000226,-78.64591327,35.78065005,25E,Downtown,2022-01-02,9:58:00,Assault/Simple,RALEIGH,0 BLOCK S WEST ST
P22000227,-78.60210737,35.81612057,35F,North,2022-01-02,9:32:00,Larceny/Theft from Motor Vehicle,RALEIGH,2700 BLOCK CAPITAL BLVD
P22000229,-78.70239872,35.7598487,40A,Southwest,2022-01-02,9:18:00,Motor Vehicle Theft,RALEIGH,3000 BLOCK WALNUT CREEK PKWY
P22000230,-78.56221295,35.79858674,80D,Northeast,2022-01-02,10:13:00,All Other/Trespassing,RALEIGH,4400 BLOCK NEW BERN AVE
P22000230,-78.56221295,35.79858674,35C,Northeast,2022-01-02,10:13:00,Larceny/Shoplifting,RALEIGH,4400 BLOCK NEW BERN AVE
P22000231,-78.6420274,35.77435419,54D,Downtown,2022-01-02,10:54:00,Drug Violation/Misdemeanor,RALEIGH,500 BLOCK S MCDOWELL ST
P22000234,-78.73786336,35.80460656,25E,Southwest,2022-01-02,10:59:00,Assault/Simple,RALEIGH,5800 BLOCK ABINGDON RIDGE PL
P22000235,-78.69790941,35.87177969,35F,Northwest,2022-01-02,11:07:00,Larceny/Theft from Motor Vehicle,RALEIGH,3200 BLOCK LYNN RD
P22000236,-78.60665173,35.86568997,35F,North,2022-01-02,11:42:00,Larceny/Theft from Motor Vehicle,RALEIGH,1900 BLOCK SPRING FOREST RD
P22000237,-78.63662046,35.77751836,80D,Downtown,2022-01-02,11:44:00,All Other/Trespassing,RALEIGH,200 BLOCK S BLOUNT ST
P22000240,-78.63924134,35.77753709,25F,Downtown,2022-01-02,12:03:00,Assault/Intimidation-Communicating Threats,RALEIGH,200 BLOCK FAYETTEVILLE ST
P22000241,-78.63332167,35.83106755,56A,North,2022-01-02,12:04:00,Fraud/False Pretense or Swindle,RALEIGH,3700 BLOCK YORKTOWN PL
P22000242,-78.64569273,35.77983353,35D,Downtown,2022-01-02,11:48:00,Larceny/Theft from Building,RALEIGH,400 BLOCK W MORGAN ST
P22000243,-78.6942176,35.87246,51A,Northwest,2022-01-02,12:14:00,Weapons/Carry Concealed Weapon,RALEIGH,LYNN RD  &  LYNN TOWNES CT
P22000244,-78.61098864,35.77091243,82J,Southeast,2022-01-02,12:23:00,Humane/Chemical Deployment,RALEIGH,1700 BLOCK MARTIN LUTHER KING JR BLVD
P22000245,-78.64370622,35.74847557,35C,Downtown,2022-01-02,12:27:00,Larceny/Shoplifting,RALEIGH,2500 BLOCK S WILMINGTON ST
P22000246,-78.76217887,35.92123905,80A,Northwest,2022-01-02,12:06:00,All Other/All Other Offenses,RALEIGH,7300 BLOCK WATER WILLOW DR
P22000247,-78.64734078,35.7852736,25E,Downtown,2022-01-02,13:01:00,Assault/Simple,RALEIGH,400 BLOCK GLENWOOD AVE
P22000248,-78.60145885,35.83475754,35C,North,2022-01-02,13:00:00,Larceny/Shoplifting,RALEIGH,2200 BLOCK NEW HOPE CHURCH RD
P22000249,-78.6019177,35.76382434,25G,Southeast,2022-01-02,13:23:00,Assault/Aggravated,RALEIGH,500 BLOCK DACIAN RD
P22000252,-78.64542759,35.73341606,52C,Downtown,2022-01-02,12:33:00,Stolen Property/Recover Stolen Property (no arrest) (STOLEN FROM OTHER JURISDICTION),RALEIGH,300 BLOCK SHERWEE DR
P22000254,-78.71009655,35.82496791,80B,Northwest,2022-01-02,12:54:00,All Other/Damage to Property (minor),RALEIGH,3600 BLOCK MILL RUN
P22000256,-78.57923371,35.89520969,35F,Northeast,2022-01-02,14:37:00,Larceny/Theft from Motor Vehicle,RALEIGH,8300 BLOCK CAMP DURANT RD
P22000257,-78.6243397,35.79811581,30B,Southeast,2022-01-02,12:59:00,Burglary/Residential,RALEIGH,1400 BLOCK BROOKSIDE DR
P22000259,-78.57988427,35.79606649,50A,Southeast,2022-01-02,14:30:00,Kidnapping/Abduction,RALEIGH,3600 BLOCK NEW BERN AVE
P22000259,-78.57988427,35.79606649,35H,Southeast,2022-01-02,14:30:00,Larceny/All Other,RALEIGH,3600 BLOCK NEW BERN AVE
P22000261,-78.63276167,35.74095064,40A,Downtown,2022-01-02,15:37:00,Motor Vehicle Theft,RALEIGH,500 BLOCK RUSH ST
P22000262,-78.657033,35.90182672,56B,North,2022-01-02,16:12:00,Fraud/Credit Card-ATM Fraud,RALEIGH,9600 BLOCK STRICKLAND RD
P22000262,-78.657033,35.90182672,35F,North,2022-01-02,16:12:00,Larceny/Theft from Motor Vehicle,RALEIGH,9600 BLOCK STRICKLAND RD
